Date,Open,High,Low,Close,Volume,MarketCap
10/10/2018,6640.29,6640.29,6538.96,6585.53,3787650000,1.14031E+11
10/11/2018,6586.74,6586.74,6243.74,6256.24,5181640000,1.08342E+11
10/12/2018,6239.25,6328.5,6236.47,6274.58,3783500000,1.0867E+11
10/13/2018,6278.08,6308.51,6259.81,6285.99,3064030000,1.08878E+11
10/14/2018,6288.49,6363.21,6280.15,6290.93,3085320000,1.08973E+11
10/15/2018,6292.64,6965.06,6258.68,6596.54,7370770000,1.1428E+11
10/16/2018,6601.41,6673.59,6571.37,6596.11,4074800000,1.14284E+11
10/17/2018,6590.52,6601.21,6517.45,6544.43,4088420000,1.13399E+11
10/18/2018,6542.33,6567.54,6450.04,6476.71,3924080000,1.12237E+11
10/19/2018,6478.07,6493.68,6445.31,6465.41,3578870000,1.12053E+11
10/20/2018,6460.92,6497.72,6449,6489.19,3379130000,1.12477E+11
10/21/2018,6490.09,6556.38,6476,6482.35,3253610000,1.12369E+11
10/22/2018,6486.05,6543.8,6462.98,6487.16,3672860000,1.12465E+11
10/23/2018,6472.36,6506.01,6451.27,6475.74,3716150000,1.1228E+11
10/24/2018,6478.89,6521.99,6468.86,6495.84,3424670000,1.12637E+11
10/25/2018,6484.65,6504.65,6447.03,6476.29,3230550000,1.1231E+11
10/26/2018,6468.44,6498.29,6449.61,6474.75,3306050000,1.12294E+11
10/27/2018,6480.84,6507.41,6453.53,6480.38,3393250000,1.12403E+11
10/28/2018,6482.66,6502.28,6447.91,6486.39,3445190000,1.12518E+11
10/29/2018,6492.35,6503.6,6306.99,6332.63,4199910000,1.09863E+11
10/30/2018,6337.04,6364.99,6310.14,6334.27,3781100000,1.09904E+11
10/31/2018,6336.99,6349.16,6316.88,6317.61,4191240000,1.09627E+11
11/1/2018,6318.14,6547.14,6311.83,6377.78,3789400000,1.10684E+11
11/2/2018,6378.92,6396.86,6327.38,6388.44,4234870000,1.1088E+11
11/3/2018,6387.24,6400.07,6342.37,6361.26,3658640000,1.10421E+11
11/4/2018,6365.47,6388.63,6294.57,6376.13,4390020000,1.10689E+11
